001  00001 |Loss: 2.450 | Acc: 6.250% 
001  00002 |Loss: 2.402 | Acc: 6.250% 
001  00003 |Loss: 2.364 | Acc: 9.115% 
001  00004 |Loss: 2.355 | Acc: 9.375% 
001  00005 |Loss: 2.350 | Acc: 10.469% 
001  00006 |Loss: 2.326 | Acc: 12.500% 
001  00007 |Loss: 2.331 | Acc: 13.058% 
001  00008 |Loss: 2.322 | Acc: 14.258% 
001  00009 |Loss: 2.305 | Acc: 15.104% 
001  00010 |Loss: 2.295 | Acc: 15.000% 
001  00011 |Loss: 2.285 | Acc: 15.199% 
001  00012 |Loss: 2.267 | Acc: 15.430% 
001  00013 |Loss: 2.250 | Acc: 15.805% 
001  00014 |Loss: 2.227 | Acc: 16.518% 
001  00015 |Loss: 2.218 | Acc: 17.031% 
001  00016 |Loss: 2.205 | Acc: 17.529% 
001  00017 |Loss: 2.191 | Acc: 18.061% 
001  00018 |Loss: 2.195 | Acc: 18.142% 
001  00019 |Loss: 2.181 | Acc: 18.627% 
001  00020 |Loss: 2.162 | Acc: 19.453% 
001  00021 |Loss: 2.154 | Acc: 19.717% 
001  00022 |Loss: 2.147 | Acc: 19.922% 
001  00023 |Loss: 2.147 | Acc: 19.769% 
001  00024 |Loss: 2.134 | Acc: 20.085% 
001  00025 |Loss: 2.120 | Acc: 20.469% 
001  00026 |Loss: 2.120 | Acc: 20.643% 
001  00027 |Loss: 2.108 | Acc: 21.209% 
001  00028 |Loss: 2.102 | Acc: 21.680% 
001  00029 |Loss: 2.097 | Acc: 21.848% 
001  00030 |Loss: 2.093 | Acc: 22.057% 
001  00031 |Loss: 2.086 | Acc: 22.429% 
001  00032 |Loss: 2.080 | Acc: 22.656% 
001  00033 |Loss: 2.067 | Acc: 23.106% 
001  00034 |Loss: 2.058 | Acc: 23.529% 
001  00035 |Loss: 2.048 | Acc: 23.795% 
001  00036 |Loss: 2.038 | Acc: 24.284% 
001  00037 |Loss: 2.029 | Acc: 24.578% 
001  00038 |Loss: 2.026 | Acc: 24.589% 
001  00039 |Loss: 2.022 | Acc: 24.700% 
001  00040 |Loss: 2.015 | Acc: 25.020% 
001  00041 |Loss: 2.016 | Acc: 25.038% 
001  00042 |Loss: 2.014 | Acc: 25.205% 
001  00043 |Loss: 2.015 | Acc: 25.382% 
001  00044 |Loss: 2.007 | Acc: 25.817% 
001  00045 |Loss: 2.002 | Acc: 26.111% 
001  00046 |Loss: 1.998 | Acc: 26.342% 
001  00047 |Loss: 2.000 | Acc: 26.247% 
001  00048 |Loss: 1.994 | Acc: 26.497% 
001  00049 |Loss: 1.987 | Acc: 26.706% 
001  00050 |Loss: 1.984 | Acc: 26.859% 
001  00051 |Loss: 1.975 | Acc: 27.145% 
001  00052 |Loss: 1.972 | Acc: 27.239% 
001  00053 |Loss: 1.966 | Acc: 27.462% 
001  00054 |Loss: 1.959 | Acc: 27.677% 
001  00055 |Loss: 1.955 | Acc: 27.784% 
001  00056 |Loss: 1.953 | Acc: 27.916% 
001  00057 |Loss: 1.946 | Acc: 28.056% 
001  00058 |Loss: 1.941 | Acc: 28.300% 
001  00059 |Loss: 1.938 | Acc: 28.456% 
001  00060 |Loss: 1.937 | Acc: 28.620% 
001  00061 |Loss: 1.932 | Acc: 28.881% 
001  00062 |Loss: 1.927 | Acc: 29.133% 
001  00063 |Loss: 1.924 | Acc: 29.291% 
001  00064 |Loss: 1.921 | Acc: 29.370% 
001  00065 |Loss: 1.919 | Acc: 29.423% 
001  00066 |Loss: 1.915 | Acc: 29.569% 
001  00067 |Loss: 1.911 | Acc: 29.629% 
001  00068 |Loss: 1.909 | Acc: 29.630% 
001  00069 |Loss: 1.906 | Acc: 29.721% 
001  00070 |Loss: 1.901 | Acc: 29.888% 
001  00071 |Loss: 1.897 | Acc: 30.073% 
001  00072 |Loss: 1.894 | Acc: 30.197% 
001  00073 |Loss: 1.889 | Acc: 30.447% 
001  00074 |Loss: 1.883 | Acc: 30.606% 
001  00075 |Loss: 1.881 | Acc: 30.667% 
001  00076 |Loss: 1.879 | Acc: 30.798% 
001  00077 |Loss: 1.876 | Acc: 30.885% 
001  00078 |Loss: 1.874 | Acc: 30.970% 
001  00079 |Loss: 1.870 | Acc: 31.112% 
001  00080 |Loss: 1.869 | Acc: 31.133% 
001  00081 |Loss: 1.865 | Acc: 31.289% 
001  00082 |Loss: 1.860 | Acc: 31.517% 
001  00083 |Loss: 1.857 | Acc: 31.608% 
001  00084 |Loss: 1.853 | Acc: 31.762% 
001  00085 |Loss: 1.849 | Acc: 31.958% 
001  00086 |Loss: 1.847 | Acc: 31.986% 
